Course_Name,Rating,Organization,Link,About,Skills
Intro to Progressive Web Apps,intermediate2 Weeks,School of Programming & Development,https://www.udacity.com//course/intro-to-progressive-web-apps--ud811,In this course you’ll get started working on your very first Progressive Web App (PWA) - a web app that can take advantage of many features native applications have enjoyed!,"Progressive Web Apps, Service Workers, Web App Manifest, Offline apps"
Writing READMEs,beginner3 Days,School of Programming & Development,https://www.udacity.com//course/writing-readmes--ud777,Documentation is an important part of the development process. Learn to write READMEs using Markdown so your code can be used by other humans!,"README, Markdown, Making code easier to read"
Software Analysis & Testing,intermediate16 Weeks,School of Programming & Development,https://www.udacity.com//course/software-analysis-testing--ud333,"This course covers the theory and practice of software analysis, which is at the heart of software development processes such as diagnosing bugs, testing, and debugging.","Software Testing, Debugging, Dataflow Analysis, Constraint-based Analysis, Symbolic Execution"
iOS Persistence and Core Data,advanced2 Months,School of Programming & Development,https://www.udacity.com//course/ios-persistence-and-core-data--ud325,"Persisting data is a core skill for any iOS developer. Learn how to store app data to your device using three common techniques: NSUserDefaults, Sandbox, and Core Data.","Data Persistence, Core Data, UserDefaults, FileManager"
Computer Networking,intermediate3 Months,School of Programming & Development,https://www.udacity.com//course/computer-networking--ud436,This is an advanced Computer Networking course that delves into the latest concepts and tools used by the CN industry.,"Software-Defined Networking, Data Center Networking, Content Distribution, Congestion Control, Traffic Shaping"
Firebase Analytics: iOS,intermediate1 Day,School of Programming & Development,https://www.udacity.com//course/firebase-analytics-ios--ud353,"Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution","Android Development, Firebase Analytics, Firebase Crash Reporting, Firebase Remote Config, Firebase Dynamic Links"
Human-Computer Interaction,intermediate16 Weeks,School of Programming & Development,https://www.udacity.com//course/human-computer-interaction--ud400,"This course is an introductory course on human-computer interaction, covering the principles, techniques, and open areas of development in HCI.","Design Principles, Direct Manipulation Interfaces, Mental Models, Distributed Cognition, Prototyping"
2D Game Development with libGDX,intermediate8 Weeks,School of Programming & Development,https://www.udacity.com//course/2d-game-development-with-libgdx--ud405,"This course explores how to use LibGDX to build 2D games that run anywhere, from web browsers to mobile devices. At the end you will create a full game, called Icicles.","LibGDX, Game Development, 2D"
Intro to jQuery,intermediate2 Days,School of Programming & Development,https://www.udacity.com//course/intro-to-jquery--ud245,Learn how to access and modify the DOM with ease using jQuery!,"jQuery, DOM Structure, Reading jQuery documentation, Modify HTML attributes and content"
How to create <anything> in Android,beginner4 Weeks,School of Programming & Development,https://www.udacity.com//course/how-to-create-anything-in-android--ud802,Learn to implement the newest Android user interface components while building apps in Android Studio.,"Android, UI, App Development"
Introduction to Graduate Algorithms,advanced3 Months,School of Programming & Development,https://www.udacity.com//course/introduction-to-graduate-algorithms--ud401,Learn advanced techniques for designing algorithms and apply them to hard computational problems.,
Dynamic Web Applications with Sinatra,intermediate2 Weeks,School of Programming & Development,https://www.udacity.com//course/dynamic-web-applications-with-sinatra--ud268,"Sinatra is a micro-framework for quickly developing small Ruby applications for the web. In this course, you'll learn all about Sinatra, routing, and templating.","Ruby, Sinatra, Building web applications"
How to Make a Platformer Using libGDX,intermediate8 Weeks,School of Programming & Development,https://www.udacity.com//course/how-to-make-a-platformer-using-libgdx--ud406,"This course will explore how to create a game called Giga Gal. Giga Gal is a platformer in which you run, collect energy packs, jump a bunch, and shoot enemies.","LibGDX, Game Development, Asset management"
JavaScript Testing,intermediate2 Weeks,School of Programming & Development,https://www.udacity.com//course/javascript-testing--ud549,Learn how to iterate on your web applications with confidence using the red-green-refactor workflow cycle and automated testing frameworks.,"Javascript Apps, Jasmine testing framework, red-green-refactor workflow"
Object-Oriented JavaScript,intermediate3 Weeks,School of Programming & Development,https://www.udacity.com//course/object-oriented-javascript--ud711,,"Object Oriented Javascript, Object-oriented programming, Data and functionality, Prototypal inheritance"
Localization Essentials,beginner2 Weeks,School of Programming & Development,https://www.udacity.com//course/localization-essentials--ud610,"Localization is about making a product feel tailored to users around the world. Specifically, it is the process of adapting a product to a language, culture and market.","Localization, Google Translator Toolkit, Localization at Google"
Compilers: Theory and Practice,intermediate,School of Programming & Development,https://www.udacity.com//course/compilers-theory-and-practice--ud168,This course teaches the theory and practice behind building compilers for higher level programming languages.,"Compilers, Semantic Analysis, Syntax Directed Translation, Control Flow Analysis"
HTML5 Canvas,beginner2 Weeks,School of Programming & Development,https://www.udacity.com//course/html5-canvas--ud292,Learn how you can use HTML5 Canvas to create and modify images or even interactive animations.,"HTML5 Canvas, Canvas2D, Creating animation"
Object Oriented Programming in Java,intermediate4 Weeks,School of Programming & Development,https://www.udacity.com//course/object-oriented-programming-in-java--ud283,Learn how to apply powerful object-oriented programming concepts in Java,"Object-Oriented Programming, Java, User Interaction"
Designing RESTful APIs,intermediate3 Weeks,School of Programming & Development,https://www.udacity.com//course/designing-restful-apis--ud388,Build and secure a web server with a RESTful Developer-Friendly API that developers will love to use.,"Flask, REST APIs, Python"
GT - Refresher - Advanced OS,intermediate3 Weeks,School of Programming & Development,https://www.udacity.com//course/gt-refresher-advanced-os--ud098,"This course covers the essential Operating Systems concepts students need in preparation for the rest of the GT ""Advanced Operating Systems"" sequence.","Operating Systems, Virtual Memory, File Systems, Multithreaded Programming, Networking"
Intro to JavaScript,beginner2 Weeks,School of Programming & Development,https://www.udacity.com//course/intro-to-javascript--ud803,"Learn the fundamentals of JavaScript, the most popular programming language in web development.","JavaScript, Conditionals, Loops, Data Types &amp; Variables"
Grand Central Dispatch (GCD),intermediate2 Weeks,School of Programming & Development,https://www.udacity.com//course/grand-central-dispatch-gcd--ud576,Learn how to prevent background operations from interfering with an app's UI by implementing Apple's GCD framework.,"Closures, GCD"
Continuous Integration and Deployment,intermediate2 Days,School of Programming & Development,https://www.udacity.com//course/continuous-integration-and-deployment--ud1030,"In this course, you'll learn how to improve the mobile development process by using continuous integration and deployment.","Continuous Integration, BuddyBuild, Automated Testing"
Swift for Beginners,beginner7 Days,School of Programming & Development,https://www.udacity.com//course/swift-for-beginners--ud1022,"Learn Swift, Apple's programming language for building iOS applications. Start with the basics and work your way towards completing sets of challenges in Swift.","Variables and Constants, Strings, Control Flow, Functions"
Intro to Statistics,beginner2 Months,School of Programming & Development,https://www.udacity.com//course/intro-to-statistics--st101,"Get ready to analyze, visualize, and interpret data! Thought-provoking examples and chances to combine statistics and programming will keep you engaged and challenged.","Probability, Descriptive Statistics, Inferential Statistics"
Intro to HTML and CSS,beginner3 Weeks,School of Programming & Development,https://www.udacity.com//course/intro-to-html-and-css--ud001,"In this course, you'll learn the fundamentals web development, along with best practices and professional problem-solving techniques using Developer Tools.","HTML, CSS, CSS Syntax, HTML Syntax Problem Set"
Developing Android Apps,intermediate60 Hours,School of Programming & Development,https://www.udacity.com//course/new-android-fundamentals--ud851,"Build a cloud-connected Android app, and learn the tools, principles, and best practices of mobile and Android development that you'll apply to your own projects.","Android Development, Layouts, Intents, UI"
Introduction to Python Programming,beginner5 Weeks,School of Programming & Development,https://www.udacity.com//course/introduction-to-python--ud1110,"In this course, you'll learn the fundamentals of the Python programming language, along with programming best practices. You’ll learn to represent and store data using Python data types and variables, and use conditionals and loops to control the flow of your programs. You’ll harness the power of complex data structures like lists, sets, dictionaries, and tuples to store collections of related data. You’ll define and document your own custom functions, write scripts, and handle errors. Lastly, you’ll learn to find and use modules in the Python Standard Library and other third-party libraries.",
Introduction to Virtual Reality,beginner2 Weeks,School of Programming & Development,https://www.udacity.com//course/introduction-to-virtual-reality--ud1012,"If you are interested in learning more about virtual reality, this course will teach you the principles of VR technology and help you understand what you can build in VR.","VR development, Unity, Google VR SDK for Unity, General understanding of how VR works, Deploying to Android and iOS"
